feature,importance
II__spec_entropy,0.056853335
III__spec_entropy,0.03853067
V1__spec_entropy,0.03537765
V2__p95,0.03269547
aVF__spec_entropy,0.025960106
V3__p95,0.023079861
V2__p05,0.018637467
V6__spec_entropy,0.017718548
aVR__power_15_40,0.017453218
V2__median,0.017207477
aVR__skew,0.015495317
V6__diff_abs_max,0.015291978
I__zero_cross,0.0151915485
V1__p95,0.0148588335
V1__skew,0.014451933
V4__median,0.014219836
aVF__max,0.013902226
aVF__kurtosis,0.013708046
V4__spec_entropy,0.013595607
aVF__zero_cross,0.0135931475
aVF__diff_std,0.013059579
V5__max,0.012778446
V6__power_15_40,0.012370861
aVR__diff_abs_max,0.012276545
I__skew,0.012276239
V4__kurtosis,0.012236349
V1__power_15_40,0.012191673
III__power_15_40,0.0119862845
V1__median,0.011985932
V2__zero_cross,0.0116695985
V5__power_15_40,0.011565791
V3__power_0_5,0.011206673
V1__kurtosis,0.011164859
V6__skew,0.011138365
II__zero_cross,0.011046501
V6__max,0.010714291
V5__kurtosis,0.010518582
V3__power_5_15,0.010271224
aVF__range,0.0102396915
V5__spec_entropy,0.010038543
V4__skew,0.009921329
V3__peak_freq,0.009543849
III__kurtosis,0.009502611
V6__rms,0.009378295
V1__p05,0.009335829
V6__zero_cross,0.009196805
V4__p05,0.00902685
I__spec_entropy,0.008991307
III__diff_std,0.008950991
V3__p25,0.008928216
I__power_5_15,0.008900869
V4__p75,0.008691622
aVL__spec_entropy,0.008450915
V4__power_5_15,0.008444965
aVF__diff_abs_max,0.008035398
II__max,0.0076679266
V4__diff_abs_max,0.007478445
V4__max,0.0074777924
III__diff_abs_max,0.0074550835
III__max,0.007368313
III__skew,0.0072369813
V5__p05,0.007142329
V6__diff_mean,0.007130691
V6__std,0.007041828
II__range,0.006860247
V3__median,0.0068499236
II__diff_std,0.0066533885
V6__kurtosis,0.0065241493
V1__power_0_5,0.006438281
aVR__diff_std,0.006353767
aVR__min,0.0061279205
II__skew,0.005946262
aVF__power_15_40,0.0059372312
V4__peak_freq,0.00593613
V1__diff_abs_max,0.0058390023
I__min,0.005824594
II__power_15_40,0.0058042733
V6__range,0.0057808566
I__p05,0.0055923816
V6__entropy,0.0052881087
aVR__kurtosis,0.005105953
II__kurtosis,0.0049781506
V5__diff_std,0.0049232095
aVF__skew,0.0046704486
V6__diff_std,0.0046057478
II__diff_abs_max,0.004397774
V5__diff_abs_max,0.004057814
V1__diff_std,0.0037612799
aVR__spec_entropy,0.0036963746
V5__skew,0.0021893173
