feature_type,importance
spec_entropy,0.21921305730938911
skew,0.08332619164139032
power_15_40,0.07730933232232928
kurtosis,0.07373869977891445
p95,0.07063416298478842
diff_abs_max,0.06483203964307904
zero_cross,0.06069760024547577
max,0.059908995404839516
median,0.05026316875591874
p05,0.049734856467694044
diff_std,0.048307962249964476
power_5_15,0.027617057785391808
range,0.022880794946104288
power_0_5,0.01764495437964797
peak_freq,0.01547997910529375
min,0.011952514294534922
rms,0.00937829539179802
p25,0.008928216062486172
p75,0.008691621944308281
diff_mean,0.007130690850317478
std,0.007041827775537968
entropy,0.005288108717650175
