feature,importance_mean,importance_std
V1__spec_entropy,0.042733990147783354,0.018628653782041673
V2__p05,0.025677339901477914,0.013570707740148125
III__spec_entropy,0.02241379310344836,0.008220846930186515
aVF__zero_cross,0.02167487684729073,0.006927271482968087
V1__skew,0.020320197044335075,0.010718531518182998
V4__spec_entropy,0.01988916256157643,0.00911891552488146
V6__power_15_40,0.015886699507389253,0.005642222260569116
V4__peak_freq,0.014347290640394162,0.005141164694245495
aVR__skew,0.014224137931034575,0.005444895908623974
V4__kurtosis,0.01354679802955674,0.004753758390546506
aVR__power_15_40,0.011514778325123248,0.00359629107153913
II__zero_cross,0.011391625615763628,0.006205173640773889
III__diff_std,0.010652709359605984,0.008227071090665236
V1__kurtosis,0.010283251231527185,0.007723108579119909
V6__diff_mean,0.010221674876847386,0.004881261375026218
V1__median,0.009051724137931127,0.013299779902451892
I__p05,0.008435960591133084,0.0026776865646747174
aVF__range,0.00831280788177346,0.0037933233574535506
V3__power_5_15,0.007142857142857245,0.003706876094407005
V2__p95,0.0069581280788178265,0.012162070501870752
V4__median,0.006834975369458224,0.004745376090377085
V6__spec_entropy,0.0067733990147783975,0.0043974312983638235
V4__skew,0.006588669950739029,0.006577726743826861
II__spec_entropy,0.006219211822660181,0.008051917774307488
V2__median,0.005911330049261182,0.00521911825133426
V1__p05,0.0057266009852217584,0.003957688168527433
aVF__spec_entropy,0.005603448275862155,0.018189430044199175
I__min,0.005541871921182368,0.0037455434299865854
III__power_15_40,0.005480295566502541,0.004729368704266605
V4__p75,0.005295566502463133,0.0053269775255867366
V6__skew,0.0052339901477833515,0.003587846584225926
V6__zero_cross,0.004802955665024727,0.004119637606817179
aVF__kurtosis,0.004433497536945913,0.003076353693792323
I__skew,0.004064039408867098,0.002700949778258802
V4__power_5_15,0.003509852216748849,0.005660672455435181
V5__spec_entropy,0.003140394088670023,0.002978030120528017
aVF__skew,0.002894088669950812,0.0019962518568285154
III__skew,0.002709359605911399,0.0022574264507171943
V3__median,0.002339901477832612,0.003567179398512383
V2__zero_cross,0.0021551724137931828,0.005208573465469836
V3__power_0_5,0.002032019704433585,0.007554342185460732
III__diff_abs_max,0.0017857142857143683,0.004203009100143233
I__power_5_15,0.0016625615763547707,0.012530599059344375
V1__power_0_5,0.0016625615763547542,0.002998332222645273
V1__p95,0.0015394088669951622,0.004735778151495999
V6__diff_abs_max,0.00153940886699514,0.002396736509363145
V6__range,0.001354679802955766,0.006290439797597123
II__skew,0.001354679802955744,0.001398745897980354
V6__entropy,0.0013546798029557216,0.0018636386638450164
aVR__min,0.001354679802955705,0.0012253539865845155
V3__p25,0.0012931034482759507,0.006949949419784437
aVR__diff_abs_max,0.0012931034482759397,0.0025080556470955958
V6__rms,0.001231527093596102,0.0014041569274620032
V6__kurtosis,0.001169950738916309,0.0014295796510152713
II__power_15_40,0.0011083743842365212,0.00178039806586219
V3__peak_freq,0.0010467980295567115,0.0014714043282448956
III__kurtosis,0.0009852216748769238,0.0029298958752143893
V5__max,0.0008004926108375165,0.0026492148724505987
aVF__diff_abs_max,0.0008004926108374666,0.0012483457470882655
V1__diff_abs_max,0.0006773399014779191,0.0014295796510152264
V5__p05,0.0005541871921182717,0.0020038349871025797
V1__power_15_40,0.00043103448275871317,0.0017535752297903856
II__max,0.0004310344827586854,0.0017535752297903808
V4__max,0.0003078817733991046,0.002911070604328269
aVF__power_15_40,0.00030788177339907685,0.0007666194333736666
I__spec_entropy,0.0002463054187192948,0.003925462426233805
II__diff_abs_max,0.0001231527093596807,0.0012857520331170781
V5__skew,6.157635467987088e-05,0.0017186312483931843
aVR__kurtosis,6.157635467980427e-05,0.00026840510736088466
aVF__max,4.9960036108132046e-17,0.0015083064918615453
V2__diff_abs_max,0.0,0.0
V2__power_5_15,0.0,0.0
V3__std,0.0,0.0
V3__mean,0.0,0.0
V2__spec_entropy,0.0,0.0
V2__energy,0.0,0.0
V2__peak_freq,0.0,0.0
V2__power_15_40,0.0,0.0
V2__power_0_5,0.0,0.0
V5__power_5_15,0.0,0.0
V2__skew,0.0,0.0
V2__kurtosis,0.0,0.0
V2__total_power,0.0,0.0
V2__diff_mean,0.0,0.0
V2__diff_std,0.0,0.0
V2__rms,0.0,0.0
V2__entropy,0.0,0.0
V2__range,0.0,0.0
V2__abs_mean,0.0,0.0
V5__peak_freq,0.0,0.0
V6__median,0.0,0.0
V1__diff_mean,0.0,0.0
V6__peak_freq,0.0,0.0
V1__diff_std,0.0,0.0
V1__zero_cross,0.0,0.0
V1__entropy,0.0,0.0
V1__total_power,0.0,0.0
V1__power_5_15,0.0,0.0
V1__peak_freq,0.0,0.0
V6__power_5_15,0.0,0.0
V6__power_0_5,0.0,0.0
V2__mean,0.0,0.0
V2__std,0.0,0.0
V6__min,0.0,0.0
V6__mean,0.0,0.0
V2__min,0.0,0.0
V2__max,0.0,0.0
V3__max,0.0,0.0
V6__total_power,0.0,0.0
V2__p25,0.0,0.0
V2__p75,0.0,0.0
V3__min,0.0,0.0
V3__energy,0.0,0.0
V3__range,0.0,0.0
V5__rms,0.0,0.0
V5__diff_mean,0.0,0.0
V4__rms,0.0,0.0
V4__energy,0.0,0.0
V4__diff_mean,0.0,0.0
V6__abs_mean,0.0,0.0
V4__diff_std,0.0,0.0
V5__energy,0.0,0.0
V4__zero_cross,0.0,0.0
V4__entropy,0.0,0.0
V4__total_power,0.0,0.0
V4__power_0_5,0.0,0.0
V4__power_15_40,0.0,0.0
V5__power_0_5,0.0,0.0
V6__p95,0.0,0.0
V6__p75,0.0,0.0
V5__mean,0.0,0.0
V5__std,0.0,0.0
V5__min,0.0,0.0
V5__range,0.0,0.0
V5__abs_mean,0.0,0.0
V5__median,0.0,0.0
V5__p25,0.0,0.0
V5__p75,0.0,0.0
V5__p95,0.0,0.0
V4__abs_mean,0.0,0.0
V6__energy,0.0,0.0
V4__p95,0.0,0.0
V5__zero_cross,0.0,0.0
V3__p05,0.0,0.0
V3__p75,0.0,0.0
V3__abs_mean,0.0,0.0
V3__rms,0.0,0.0
V6__p25,0.0,0.0
V3__skew,0.0,0.0
V3__kurtosis,0.0,0.0
V3__diff_mean,0.0,0.0
V3__diff_std,0.0,0.0
V3__diff_abs_max,0.0,0.0
V3__zero_cross,0.0,0.0
V3__entropy,0.0,0.0
V3__total_power,0.0,0.0
V6__p05,0.0,0.0
V5__total_power,0.0,0.0
V3__power_15_40,0.0,0.0
V3__spec_entropy,0.0,0.0
V4__mean,0.0,0.0
V4__std,0.0,0.0
V4__min,0.0,0.0
V1__energy,0.0,0.0
V5__entropy,0.0,0.0
V4__p25,0.0,0.0
V4__range,0.0,0.0
I__mean,0.0,0.0
V1__rms,0.0,0.0
II__total_power,0.0,0.0
II__power_5_15,0.0,0.0
II__peak_freq,0.0,0.0
III__mean,0.0,0.0
III__std,0.0,0.0
III__min,0.0,0.0
III__range,0.0,0.0
III__median,0.0,0.0
III__p05,0.0,0.0
III__p25,0.0,0.0
III__p75,0.0,0.0
III__p95,0.0,0.0
III__abs_mean,0.0,0.0
III__rms,0.0,0.0
III__energy,0.0,0.0
III__diff_mean,0.0,0.0
III__zero_cross,0.0,0.0
III__entropy,0.0,0.0
III__total_power,0.0,0.0
III__power_0_5,0.0,0.0
III__power_5_15,0.0,0.0
III__peak_freq,0.0,0.0
aVR__mean,0.0,0.0
aVR__std,0.0,0.0
aVR__max,0.0,0.0
V1__abs_mean,0.0,0.0
aVR__range,0.0,0.0
aVR__median,0.0,0.0
aVR__p05,0.0,0.0
aVR__p25,0.0,0.0
II__power_0_5,0.0,0.0
II__entropy,0.0,0.0
aVR__p95,0.0,0.0
II__diff_mean,0.0,0.0
I__max,0.0,0.0
I__range,0.0,0.0
I__median,0.0,0.0
I__p25,0.0,0.0
I__p75,0.0,0.0
I__p95,0.0,0.0
I__abs_mean,0.0,0.0
I__rms,0.0,0.0
I__energy,0.0,0.0
I__kurtosis,0.0,0.0
I__diff_mean,0.0,0.0
I__diff_std,0.0,0.0
I__diff_abs_max,0.0,0.0
I__entropy,0.0,0.0
I__total_power,0.0,0.0
I__power_0_5,0.0,0.0
I__power_15_40,0.0,0.0
I__peak_freq,0.0,0.0
II__mean,0.0,0.0
II__std,0.0,0.0
II__min,0.0,0.0
II__median,0.0,0.0
II__p05,0.0,0.0
II__p25,0.0,0.0
II__p75,0.0,0.0
II__p95,0.0,0.0
II__abs_mean,0.0,0.0
II__rms,0.0,0.0
II__energy,0.0,0.0
aVR__p75,0.0,0.0
V1__mean,0.0,0.0
aVR__abs_mean,0.0,0.0
aVL__zero_cross,0.0,0.0
aVL__total_power,0.0,0.0
aVL__power_0_5,0.0,0.0
aVR__rms,0.0,0.0
aVL__power_15_40,0.0,0.0
aVL__peak_freq,0.0,0.0
aVF__mean,0.0,0.0
aVF__std,0.0,0.0
aVF__min,0.0,0.0
aVF__median,0.0,0.0
aVF__p05,0.0,0.0
aVF__p25,0.0,0.0
aVF__p75,0.0,0.0
aVF__p95,0.0,0.0
aVF__abs_mean,0.0,0.0
aVF__rms,0.0,0.0
aVF__energy,0.0,0.0
aVF__diff_mean,0.0,0.0
aVF__entropy,0.0,0.0
aVF__total_power,0.0,0.0
aVF__power_0_5,0.0,0.0
aVF__power_5_15,0.0,0.0
aVF__peak_freq,0.0,0.0
I__std,0.0,0.0
V1__std,0.0,0.0
V1__min,0.0,0.0
V1__max,0.0,0.0
V1__range,0.0,0.0
V1__p25,0.0,0.0
V1__p75,0.0,0.0
aVL__entropy,0.0,0.0
