feature_type,importance
spec_entropy,0.10578817733990233
skew,0.05745073891625695
p05,0.0401477832512319
zero_cross,0.036576354679803386
power_15_40,0.0338054187192124
kurtosis,0.02918719211822714
median,0.024137931034483147
peak_freq,0.015394088669950873
power_5_15,0.012315270935960864
diff_mean,0.010221674876847386
range,0.009113300492611037
min,0.006896551724138073
p75,0.005295566502463133
diff_abs_max,0.004187192118227163
power_0_5,0.0036945812807883394
diff_std,0.0027709359605916865
entropy,0.0013546798029557216
p25,0.0012931034482759507
rms,0.001231527093596102
max,4.163336342344337e-16
mean,0.0
energy,0.0
total_power,0.0
abs_mean,0.0
std,-0.000554187192118144
p95,-0.017426108374383957
